,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Brasilonema sennae,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium japonicum,0,0,1,0,2,2,0,0,1,0,0
Rhizobium sp. CC-CFT758,0,0,1,0,0,0,0,0,0,0,0
Methylorubrum extorquens,0,0,1,1,0,0,0,0,0,0,0
Devosia sp. G20-9,0,0,1,0,0,0,0,0,0,0,0
Kaistia sp. 32K,0,0,1,1,0,0,0,0,0,0,0
Roseomonas sp. OT10,0,0,1,1,1,1,1,0,0,0,1
Acidocella sp. MX-AZ03,0,0,1,0,0,0,0,0,1,0,0
Skermanella sp. TT6,0,0,1,1,2,1,0,0,1,1,0
Neotabrizicola shimadae,0,0,1,0,0,0,0,0,0,0,0
Sphingomonas naphthae,0,0,1,0,0,0,0,0,0,0,0
Klebsiella oxytoca,0,0,1,1,0,0,0,0,1,1,0
Candidatus Doolittlea endobia,0,0,1,0,0,0,0,0,0,0,0
Xenorhabdus budapestensis,0,0,1,0,0,0,0,0,0,0,0
Legionella hackeliae,0,0,1,0,0,0,0,0,0,0,0
Legionella pneumophila,0,0,0,0,0,0,0,0,0,0,0
Legionella micdadei,0,0,1,0,0,0,0,0,0,0,0
Legionella oakridgensis,0,0,0,0,0,0,0,0,0,0,0
Alkalilimnicola ehrlichii,0,0,0,0,0,0,0,0,0,0,0
Vibrio sp. STUT-A11,0,0,1,0,0,0,0,0,0,0,0
Vibrio sp. THAF191c,0,0,1,0,0,0,0,0,0,0,0
Pseudoxanthomonas suwonensis,0,0,1,0,0,0,0,0,1,0,0
Shewanella baltica,0,0,1,0,0,0,0,0,1,0,0
Aeromonas veronii,0,0,1,0,0,0,0,0,1,0,0
Actinobacillus equuli,0,0,0,0,0,0,0,0,0,0,0
Comamonas testosteroni,0,0,1,0,0,1,0,0,5,1,0
Sutterella wadsworthensis,0,0,1,0,0,0,0,0,0,0,0
Neisseria elongata,0,0,1,0,0,0,0,0,0,0,0
Aquella oligotrophica,0,0,1,0,0,0,0,0,1,0,0
Planctopirus ephydatiae,0,0,1,1,0,0,0,1,1,1,1
Lignipirellula cremea,0,0,2,2,0,1,0,1,2,1,1
Sulfuriroseicoccus oceanibius,0,0,3,2,0,0,0,1,2,0,1
Lentisphaera profundi,0,0,1,1,0,0,0,0,0,0,0
Alloacidobacterium dinghuense,0,0,1,1,3,5,0,0,2,2,1
Myroides odoratus,0,0,1,0,0,0,0,0,1,0,0
Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu,0,0,1,0,0,0,0,0,0,0,0
Prevotella corporis,0,0,1,0,0,1,0,0,1,0,0
Proteiniphilum saccharofermentans,0,0,1,0,0,0,0,0,0,0,0
Mucilaginibacter mallensis,0,0,1,0,0,0,0,0,1,0,0
Anaeromyxobacter sp. Fw109-5,0,0,2,0,1,1,1,1,2,1,1
Candidatus Bipolaricaulis anaerobius,0,0,1,0,0,1,0,0,0,0,1
Candidatus Minimicrobia vallesae,0,0,1,0,0,0,0,0,0,0,0
Halobacteriovorax marinus,0,0,1,0,0,0,0,0,0,0,0
Treponema parvum,0,0,1,0,0,0,0,0,0,0,0
Bradyrhizobium sp. CB3481,0,0,0,2,2,0,0,0,0,1,1
Starkeya sp. ORNL1,0,0,0,1,0,1,0,0,0,0,0
Rhizobium sp. WYJ-E13,0,0,0,1,0,0,0,0,0,0,0
Pararhizobium sp. IMCC21322,0,0,0,1,0,0,0,0,0,0,0
Sinorhizobium sp. BG8,0,0,0,2,0,0,0,0,0,0,0
Methylobacterium nodulans,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium sp. 8,0,0,0,1,0,1,0,0,0,0,0
Mesorhizobium sp. AR07,0,0,0,1,0,0,0,0,0,0,0
Devosia sp. I507,0,0,0,1,0,0,0,0,0,0,0
Brucella sp. NM4,0,0,0,1,0,0,0,0,0,0,0
Hartmannibacter diazotrophicus,0,0,0,1,0,0,0,0,2,0,2
Roseibium alexandrii,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum gryphiswaldense,0,0,0,1,0,0,0,0,0,0,0
Pararhodospirillum photometricum,0,0,0,0,0,0,0,0,0,0,0
Haematospirillum jordaniae,0,0,0,1,0,1,0,1,0,0,1
Varunaivibrio sulfuroxidans,0,0,0,1,0,0,0,0,0,0,0
Sphingomonas limnosediminicola,0,0,0,1,1,0,0,0,0,0,0
Zymomonas mobilis,0,0,0,1,0,0,0,0,0,0,0
Tateyamaria omphalii,0,0,0,2,0,0,0,0,1,0,0
Candidatus Bandiella numerosa,0,0,0,1,1,0,0,0,1,0,0
Candidatus Paracaedibacter acanthamoebae,0,0,0,1,0,0,0,0,1,0,1
Caulobacter henricii,0,0,0,1,0,0,0,0,0,0,0
Citrobacter braakii,0,0,0,1,0,0,0,0,0,0,0
Enterobacteriaceae endosymbiont of Plateumaris braccata,0,0,0,2,0,0,0,1,0,1,0
Yersinia pestis,0,0,0,0,0,0,0,1,0,0,0
Arsenophonus endosymbiont of Aphis craccivora,0,0,0,1,0,0,0,0,0,0,0
Proteus penneri,0,0,0,1,0,0,0,0,0,0,0
Xenorhabdus doucetiae,0,0,0,1,0,0,0,0,0,0,0
Pectobacterium polonicum,0,0,0,1,0,0,0,0,0,0,0
Sulfurivermis fontis,0,0,0,1,0,0,0,0,0,0,0
Acinetobacter ursingii,0,0,0,1,0,0,0,0,0,0,0
Acinetobacter larvae,0,0,0,1,0,0,1,1,2,0,0
Halomonas sp. Y3,0,0,0,1,1,0,0,0,0,0,0
Ahniella affigens,0,0,0,1,0,0,0,0,1,0,0
Pseudomonas sp. FP1935,0,0,0,1,0,0,0,0,0,0,0
Pseudomonas brassicacearum,0,0,0,0,0,0,0,0,0,0,0
Microbulbifer sp. ALW1,0,0,0,1,0,1,1,0,1,1,0
Moritella marina,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus porcitonsillarum,0,0,0,1,0,0,0,0,0,0,0
Isorropodon fossajaponicum symbiont,0,0,0,0,0,0,0,0,0,0,0
Methylophaga frappieri,0,0,0,1,0,0,0,1,0,0,0
Burkholderia ambifaria,0,0,0,0,0,0,0,0,0,0,0
Paraburkholderia dioscoreae,0,0,0,1,0,0,0,0,0,0,0
Comamonas flocculans,0,0,0,1,0,0,0,0,0,0,1
Pseudoduganella lutea,0,0,0,1,2,0,0,0,1,0,0
Methylotenera versatilis,0,0,0,0,0,0,0,0,0,0,0
Aquaspirillum sp. LM1,0,0,0,1,0,0,0,0,0,0,0
Bacillus sp. JNUCC-22,0,0,0,1,0,0,0,0,0,0,0
Bacillus sp. S3,0,0,0,1,1,0,0,0,0,0,0
Geobacillus genomosp. 3,0,0,0,1,0,0,0,0,2,0,0
Psychrobacillus glaciei,0,0,0,1,0,1,0,0,0,1,1
Paenibacillus sp. JDR-2,0,0,0,1,0,0,0,0,0,0,0
Paenibacillus albus,0,0,0,1,0,0,1,1,0,1,0
Paenibacillus antarcticus,0,0,0,1,0,1,0,0,0,0,0
Paenisporosarcina cavernae,0,0,0,1,0,0,0,2,0,0,1
Staphylococcus chromogenes,0,0,0,1,0,0,0,0,0,0,1
Effusibacillus dendaii,0,0,0,1,0,0,0,0,2,0,0
Latilactobacillus sakei,0,0,0,1,0,0,0,0,0,0,0
Latilactobacillus curvatus,0,0,0,1,0,0,0,0,0,2,0
Pediococcus pentosaceus,0,0,0,1,0,0,0,0,0,0,0
Limosilactobacillus reuteri,0,0,0,1,0,0,0,0,0,0,0
Lactobacillus acetotolerans,0,0,0,1,0,0,0,0,0,0,0
Streptococcus salivarius,0,0,0,1,0,0,0,0,0,0,0
Clostridium sp. BJN0001,0,0,0,1,0,4,5,6,0,1,1
Clostridium cochlearium,0,0,0,1,0,2,0,1,0,1,0
Clostridioides sp. ES-S-0054-01,0,0,0,1,0,0,0,0,0,0,0
Terrisporobacter hibernicus,0,0,0,1,0,0,0,0,0,0,0
Fastidiosipila sanguinis,0,0,0,1,0,0,0,0,1,0,0
[Clostridium] hylemonae,0,0,0,1,0,0,0,0,0,0,0
Dehalobacter restrictus,0,0,0,1,0,0,0,0,0,0,0
Natranaerobius thermophilus,0,0,0,0,0,0,0,0,0,0,0
Halothermothrix orenii,0,0,0,0,0,0,0,0,0,0,0
Thermosediminibacter oceani,0,0,0,0,0,0,0,0,0,0,0
Erysipelothrix sp. A18Y020d,0,0,0,1,0,0,0,0,0,0,0
Mycobacterium tuberculosis,0,0,0,1,0,0,0,1,1,0,0
Corynebacterium ammoniagenes,0,0,0,1,0,0,0,0,0,0,0
Rothia amarae,0,0,0,1,0,0,0,0,0,0,0
Microbacterium endophyticum,0,0,0,1,0,0,0,0,0,0,0
Microbacterium proteolyticum,0,0,0,1,0,0,0,0,0,0,0
Microbacterium sp. Clip185,0,0,0,1,0,0,0,0,0,0,0
Nocardioides sp. B-3,0,0,0,1,0,0,0,1,0,0,0
Nocardiopsis dassonvillei,0,0,0,0,0,0,0,0,0,0,0
Thermobifida halotolerans,0,0,0,1,0,0,0,0,0,0,0
Bifidobacterium indicum,0,0,0,0,0,0,0,0,0,0,0
Paraconexibacter antarcticus,0,0,0,2,1,0,0,3,1,0,0
Capillimicrobium parvum,0,0,0,1,0,0,0,0,1,0,0
Leptogranulimonas caecicola,0,0,0,1,0,0,0,0,1,0,0
Anaerolinea thermophila,0,0,0,0,0,0,0,0,0,0,0
Nostoc sp. C052,0,0,0,1,0,0,0,0,0,0,0
Sphaerobacter thermophilus,0,0,0,0,0,0,0,0,0,0,0
Thermomicrobium roseum,0,0,0,0,0,0,0,0,0,0,0
Spiroplasma phoeniceum,0,0,0,0,0,0,0,0,0,0,0
Haploplasma axanthum,0,0,0,1,0,0,0,0,0,0,0
Luteolibacter ambystomatis,0,0,0,1,1,0,0,0,0,0,1
Flavobacterium covae,0,0,0,1,0,0,0,1,0,0,0
Kordia sp. SMS9,0,0,0,1,0,0,0,0,0,0,0
Flavivirga eckloniae,0,0,0,1,0,0,0,0,0,0,0
Kaistella flava (ex Peng et al. 2021),0,0,0,1,0,0,0,0,0,0,0
Prevotella jejuni,0,0,0,1,0,0,0,0,0,0,0
Porphyromonas somerae,0,0,0,1,1,2,0,0,0,0,0
Tenuifilum thalassicum,0,0,0,1,0,0,0,0,3,1,0
Larkinella sp. IE-0392,0,0,0,1,0,0,0,0,0,0,0
Cytophaga hutchinsonii,0,0,0,0,0,0,0,0,0,0,0
Olivibacter sp. LS-1,0,0,0,1,1,0,0,0,1,0,0
Desulfuromonas soudanensis,0,0,0,1,0,0,1,1,2,0,0
Desulfopila sp. IMCC35008,0,0,0,1,0,0,0,0,0,0,0
Myxococcus sp. SDU36,0,0,0,1,1,0,0,0,0,0,0
Leptospira sp. severe_002,0,0,0,1,0,1,1,0,0,1,0
Helicobacter pylori,0,0,0,1,0,0,0,1,2,0,1
Persicimonas caeni,0,0,0,1,0,0,0,0,0,0,0
Elusimicrobium minutum,0,0,0,0,0,0,0,0,0,0,0
Bacillus sp. 1NLA3E,0,0,0,0,1,0,1,1,3,0,0
Bacillus weihaiensis,0,0,0,0,1,0,1,0,1,2,0
Bacillus methanolicus,0,0,0,0,1,0,0,0,0,0,0
Neobacillus sp. 114,0,0,0,0,1,1,2,0,4,0,0
Neobacillus drentensis,0,0,0,0,1,1,0,1,0,0,0
Cytobacillus kochii,0,0,0,0,1,1,1,0,0,0,0
Lentibacillus amyloliquefaciens,0,0,0,0,1,0,0,0,0,0,0
Oceanobacillus iheyensis,0,0,0,0,1,0,0,0,0,0,0
Parageobacillus toebii,0,0,0,0,1,0,0,0,0,0,0
Sporosarcina sp. P37,0,0,0,0,2,0,0,0,1,0,0
Sporosarcina sp. PTS2304,0,0,0,0,1,0,0,0,0,0,0
Planococcus sp. N016,0,0,0,0,1,0,0,0,0,0,0
Paenibacillus sp. G2S3,0,0,0,0,1,0,0,0,0,1,0
Paenibacillus sp. lzh-N1,0,0,0,0,1,0,0,1,0,0,0
Staphylococcus sp. 11-B-312,0,0,0,0,1,0,0,0,0,0,0
Kyrpidia tusciae,0,0,0,0,0,0,0,0,0,0,0
Kroppenstedtia pulmonis,0,0,0,0,1,0,0,0,0,0,0
Lactobacillus kefiranofaciens,0,0,0,0,0,0,0,0,0,0,0
Streptococcus iniae,0,0,0,0,1,0,0,0,0,0,0
Enterococcus cecorum,0,0,0,0,1,1,0,0,0,0,0
Tetragenococcus halophilus,0,0,0,0,1,0,0,0,0,0,0
Clostridium sp. MT351,0,0,0,0,1,4,0,3,0,0,2
Clostridium sp. 001,0,0,0,0,1,0,0,0,0,0,0
Clostridium autoethanogenum,0,0,0,0,0,0,0,0,0,0,0
Caloramator sp. Dgby_cultured_2,0,0,0,0,1,0,0,2,0,1,1
Sarcina sp. JB2,0,0,0,0,1,0,0,0,0,0,0
Hathewaya histolytica,0,0,0,0,1,0,0,0,0,0,0
Vescimonas coprocola,0,0,0,0,1,0,0,0,0,0,0
Ruminiclostridium papyrosolvens,0,0,0,0,0,0,0,0,0,0,0
Ruminiclostridium cellulolyticum,0,0,0,0,0,0,0,0,0,0,0
Thermocaproicibacter melissae,0,0,0,0,1,0,0,0,0,0,0
Caproicibacterium amylolyticum,0,0,0,0,1,0,0,0,0,0,0
Acutalibacter muris,0,0,0,0,1,0,0,0,0,0,0
Romboutsia ilealis,0,0,0,0,1,1,0,0,0,0,0
Desulfitobacterium dichloroeliminans,0,0,0,0,0,0,0,0,0,0,0
Herbinix luporum,0,0,0,0,1,1,0,2,1,0,1
Lachnoclostridium phytofermentans,0,0,0,0,0,0,0,0,0,0,0
Blautia argi,0,0,0,0,1,0,0,0,0,0,0
Thermaerobacter sp. PB12/4term,0,0,0,0,1,0,0,0,0,0,0
Heliomicrobium modesticaldum,0,0,0,0,0,0,0,0,0,0,0
Koleobacter methoxysyntrophicus,0,0,0,0,1,0,0,0,0,0,0
Anaerococcus mediterraneensis,0,0,0,0,1,0,0,0,0,0,0
Murdochiella vaginalis,0,0,0,0,1,0,0,0,1,0,0
Tissierella sp. Yu-01,0,0,0,0,2,0,0,0,0,0,0
Keratinibaculum paraultunense,0,0,0,0,1,0,0,0,0,0,0
Bulleidia sp. zg-1006,0,0,0,0,1,0,0,1,0,0,0
Mycolicibacterium sarraceniae,0,0,0,0,1,0,0,0,0,0,1
Corynebacterium durum,0,0,0,0,1,0,0,0,0,0,0
Rhodococcus antarcticus,0,0,0,0,1,0,0,0,0,0,0
Microbacterium sp. NIBRBAC000506063,0,0,0,0,1,0,0,0,0,0,0
Salinibacterium sp. ZJ70,0,0,0,0,1,0,0,0,0,0,0
Arthrobacter gengyunqii,0,0,0,0,1,0,0,0,0,0,0
Streptomyces sp. S1D4-11,0,0,0,0,1,0,0,0,0,0,0
Streptomyces sampsonii,0,0,0,0,1,0,0,0,2,0,0
Streptomyces lividans,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium adolescentis,0,0,0,0,1,0,0,0,0,0,0
Nocardioides rotundus,0,0,0,0,1,0,0,0,0,0,0
Amycolatopsis sp. 4-36,0,0,0,0,1,0,0,0,0,0,0
Pseudonocardia sp. EC080619-01,0,0,0,0,1,0,0,0,0,0,0
Prauserella marina,0,0,0,0,1,0,0,1,1,0,0
Pseudofrankia inefficax,0,0,0,0,1,0,1,0,0,0,0
Actinomyces respiraculi,0,0,0,0,1,1,0,0,0,0,0
Nostoc sp. C057,0,0,0,0,1,0,0,0,0,0,0
Oceanithermus profundus,0,0,0,0,0,0,0,0,0,0,0
Candidatus Promineofilum breve,0,0,0,0,1,0,0,0,0,0,0
Metamycoplasma hominis,0,0,0,0,1,0,0,0,1,0,0
Xanthobacter dioxanivorans,0,0,0,0,1,0,0,0,0,0,0
Rhodopseudomonas sp. P2A-2r,0,0,0,0,2,0,0,0,0,1,1
Rhizobium sp. SSM4.3,0,0,0,0,1,0,0,0,0,0,0
Rhizobium sp. SSA_523,0,0,0,0,1,1,0,3,2,1,1
Rhizobium gallicum,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1,0,0,0,0,1,0,0,0,0,0,0
Mesorhizobium sp. DCY119,0,0,0,0,1,0,0,1,0,0,1
Aminobacter sp. MSH1,0,0,0,0,1,1,0,0,0,0,0
Salaquimonas pukyongi,0,0,0,0,1,1,0,0,2,0,0
Microvirga sp. VF16,0,0,0,0,1,0,0,0,0,0,0
Microvirga terrae,0,0,0,0,1,0,0,0,0,0,0
Methylobacterium indicum,0,0,0,0,2,1,1,0,2,1,1
Pseudochrobactrum algeriensis,0,0,0,0,2,0,0,0,0,0,1
Bartonella sp. Raccoon60,0,0,0,0,2,0,0,0,1,0,0
Phreatobacter stygius,0,0,0,0,1,0,0,0,0,0,0
Acuticoccus sp. I52.16.1,0,0,0,0,1,0,0,0,0,0,0
Komagataeibacter oboediens,0,0,0,0,2,0,0,1,0,0,0
Entomobacter blattae,0,0,0,0,1,0,0,0,0,0,0
Sphingomonas paucimobilis,0,0,0,0,2,2,0,0,0,0,0
Candidatus Sneabacter namystus,0,0,0,0,2,0,1,0,0,0,0
Burkholderia pseudomultivorans,0,0,0,0,1,0,0,0,0,0,0
Massilia sp. MB5,0,0,0,0,5,1,0,5,4,0,2
Massilia sp. YMA4,0,0,0,0,1,0,0,1,1,0,0
Massilia sp. LPB0304,0,0,0,0,1,0,0,0,0,0,0
Massilia forsythiae,0,0,0,0,9,1,1,5,7,1,0
Herbaspirillum frisingense,0,0,0,0,1,0,0,1,1,0,1
Janthinobacterium sp. J1-1,0,0,0,0,1,0,0,0,0,1,0
Janthinobacterium tructae,0,0,0,0,1,0,0,2,1,0,1
Taylorella equigenitalis,0,0,0,0,1,0,0,0,0,0,0
Castellaniella defragrans,0,0,0,0,0,0,0,0,0,0,0
Paralcaligenes sp. KSB-10,0,0,0,0,1,0,0,0,0,0,0
Leptothrix cholodnii,0,0,0,0,0,0,0,0,0,0,0
Caldimonas thermodepolymerans,0,0,0,0,1,0,0,1,2,0,0
Chromobacterium paludis,0,0,0,0,1,0,0,0,0,0,0
Klebsiella pasteurii,0,0,0,0,1,0,1,0,0,2,0
Raoultella sp. XY-1,0,0,0,0,1,0,0,0,0,0,0
Blochmannia endosymbiont of Camponotus modoc,0,0,0,0,1,0,0,0,0,0,0
Candidatus Riesia pediculischaeffi,0,0,0,0,1,0,0,0,0,0,0
Yersinia aldovae,0,0,0,0,0,0,0,0,0,0,0
Xanthomonas albilineans,0,0,0,0,2,0,0,0,0,1,0
Luteimonas sp. MC1572,0,0,0,0,1,0,0,0,0,0,0
Lysobacter sp. KIS68-7,0,0,0,0,1,1,0,1,3,0,0
Marichromatium purpuratum,0,0,0,0,0,0,0,0,0,0,0
Legionella sp. MW5194,0,0,0,0,2,0,0,1,0,0,1
Legionella antarctica,0,0,0,0,1,0,0,0,0,0,1
Legionella clemsonensis,0,0,0,0,1,0,0,0,0,0,0
Coxiella-like endosymbiont,0,0,0,0,1,0,0,1,0,0,0
Vibrio sp. SCSIO 43009,0,0,0,0,1,0,0,0,0,1,0
Vibrio scophthalmi,0,0,0,0,2,0,0,0,0,0,0
Vibrio cholerae,0,0,0,0,1,0,0,0,0,0,0
Halotalea alkalilenta,0,0,0,0,1,0,0,0,0,0,0
Thalassolituus oleivorans,0,0,0,0,1,0,0,0,0,0,0
Acinetobacter haemolyticus,0,0,0,0,1,0,0,0,0,0,0
Pseudomonas fluorescens,0,0,0,0,2,1,0,1,0,0,1
Pseudomonas coleopterorum,0,0,0,0,1,0,0,0,0,0,0
Pseudomonas oryziphila,0,0,0,0,1,0,0,0,0,0,1
Alteromonas australica,0,0,0,0,1,0,0,0,1,0,0
Glaesserella parasuis,0,0,0,0,1,0,0,0,0,0,0
Microbulbifer aggregans,0,0,0,0,1,0,0,0,0,0,0
Thiomicrorhabdus sp. XGS-01,0,0,0,0,1,0,0,0,1,0,0
Polystyrenella longa,0,0,0,0,1,1,0,0,0,0,0
Sedimentisphaera salicampi,0,0,0,0,1,1,0,0,0,0,0
Akkermansia muciniphila,0,0,0,0,1,1,0,0,0,0,0
Ruficoccus sp. ZRK36,0,0,0,0,1,0,0,0,2,0,0
Candidatus Pelagisphaera phototrophica,0,0,0,0,1,0,0,1,0,0,0
Chlamydia pecorum,0,0,0,0,0,0,0,0,0,0,0
Pseudocnuella soli,0,0,0,0,1,1,0,0,0,0,0
Bacteroides coprosuis,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium sp. CC-SYL302,0,0,0,0,1,0,0,0,0,0,0
Flavobacterium sangjuense,0,0,0,0,1,0,0,0,0,0,0
Marivirga tractuosa,0,0,0,0,0,0,0,0,0,0,0
Solitalea lacus,0,0,0,0,1,0,0,0,0,0,0
Corallococcus coralloides,0,0,0,0,0,0,0,0,0,0,0
Geomonas sp. RF6,0,0,0,0,4,1,2,1,1,0,0
Citrifermentans bemidjiense,0,0,0,0,0,0,0,0,0,0,0
Geoalkalibacter halelectricus,0,0,0,0,2,0,0,0,0,0,0
Desulfosudis oleivorans,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrio ferrophilus,0,0,0,0,1,0,0,0,0,1,0
Lawsonia intracellularis,0,0,0,0,1,0,0,0,0,0,0
Cupidesulfovibrio liaohensis,0,0,0,0,1,0,0,0,1,0,0
Desulfobulbus oralis,0,0,0,0,1,0,0,0,0,0,0
Salinispira pacifica,0,0,0,0,1,1,0,0,0,0,0
Leptotrichia shahii,0,0,0,0,1,0,0,0,0,0,0
Desulfurispirillum indicum,0,0,0,0,0,0,0,0,0,0,0
Nitrospina watsonii,0,0,0,0,1,0,0,0,0,0,0
Clostridium sp. DL-VIII,0,0,0,0,0,197,75,151,0,23,52
Clostridium sp. LQ25,0,0,0,0,0,3,2,2,0,1,1
Clostridium sp. JN-1,0,0,0,0,0,3,1,1,0,1,3
Clostridium sp. 'deep sea',0,0,0,0,0,1,0,0,0,0,0
Clostridium saccharobutylicum,0,0,0,0,0,8,4,10,0,3,8
Clostridium acetobutylicum,0,0,0,0,0,0,1,3,0,0,1
Clostridium drakei,0,0,0,0,0,1,0,0,0,1,0
Clostridium intestinale,0,0,0,0,0,1,3,5,1,3,3
Ethanoligenens harbinense,0,0,0,0,0,1,0,0,0,1,0
Thermoclostridium stercorarium,0,0,0,0,0,1,0,0,0,0,0
Anaerocolumna sp. AGMB13025,0,0,0,0,0,1,1,0,0,0,0
Anaerocolumna sedimenticola,0,0,0,0,0,1,0,1,0,0,0
[Clostridium] colinum,0,0,0,0,0,2,2,3,0,0,0
Coprococcus catus,0,0,0,0,0,1,0,0,0,0,0
Natranaerofaba carboxydovora,0,0,0,0,0,1,0,0,0,0,1
Bacillus sp. FJAT-42376,0,0,0,0,0,1,0,0,0,0,0
Parageobacillus thermoglucosidasius,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus sp. H1-7,0,0,0,0,0,1,0,2,0,0,0
Paenibacillus sp. YPG26,0,0,0,0,0,1,0,1,2,0,0
Paenibacillus sp. PK3_47,0,0,0,0,0,1,1,0,1,1,0
Paenibacillus sp. 32O-W,0,0,0,0,0,1,0,0,1,0,0
Paenibacillus riograndensis,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus typhae,0,0,0,0,0,1,0,1,0,0,0
Paenibacillus woosongensis,0,0,0,0,0,1,0,0,1,0,0
Paenibacillus crassostreae,0,0,0,0,0,1,1,1,0,0,0
Thermobacillus composti,0,0,0,0,0,0,0,0,0,0,0
Lactiplantibacillus pentosus,0,0,0,0,0,2,1,0,0,0,0
Lactobacillus johnsonii,0,0,0,0,0,1,0,0,0,0,0
Periweissella cryptocerci,0,0,0,0,0,1,0,0,1,0,0
Ligilactobacillus acidipiscis,0,0,0,0,0,1,0,0,0,0,0
Streptococcus sanguinis,0,0,0,0,0,0,0,0,0,0,0
Streptococcus mutans,0,0,0,0,0,1,0,0,1,0,0
Pelosinus fermentans,0,0,0,0,0,0,0,0,0,0,0
Phascolarctobacterium succinatutens,0,0,0,0,0,1,0,0,0,0,0
Microbacterium hominis,0,0,0,0,0,1,1,0,0,0,0
Streptomyces cyaneogriseus,0,0,0,0,0,0,0,0,0,0,0
Streptomyces finlayi,0,0,0,0,0,1,0,0,0,0,0
Mycolicibacterium litorale,0,0,0,0,0,1,0,0,2,0,0
Mycobacterium stomatepiae,0,0,0,0,0,1,0,0,2,0,0
Corynebacterium diphtheriae,0,0,0,0,0,0,0,0,0,0,0
Nocardia farcinica,0,0,0,0,0,0,0,0,0,0,0
Nocardioides sp. TF02-7,0,0,0,0,0,1,0,1,0,0,0
Dactylosporangium aurantiacum,0,0,0,0,0,2,0,0,1,0,1
Jatrophihabitans sp. GAS493,0,0,0,0,0,1,0,0,0,0,1
Pseudonocardia dioxanivorans,0,0,0,0,0,0,0,0,0,0,0
Gordonibacter urolithinfaciens,0,0,0,0,0,1,0,0,0,0,0
Stanieria cyanosphaera,0,0,0,0,0,0,0,0,0,0,0
Synechococcus sp. PCC 7336,0,0,0,0,0,1,0,0,1,0,0
Thermobaculum terrenum,0,0,0,0,0,0,0,0,0,0,0
Deinococcus radiophilus,0,0,0,0,0,1,0,0,2,0,1
Bradyrhizobium sp. NP1,0,0,0,0,0,1,0,0,0,0,0
Bradyrhizobium symbiodeficiens,0,0,0,0,0,1,0,0,0,0,0
Rhodopseudomonas sp. SK50-23,0,0,0,0,0,1,0,0,0,0,0
Mesorhizobium ciceri,0,0,0,0,0,0,0,0,0,0,0
Nitratireductor sp. OM-1,0,0,0,0,0,1,0,0,1,0,0
Methylosinus trichosporium,0,0,0,0,0,0,0,0,0,0,0
Brucella intermedia,0,0,0,0,0,1,0,2,1,0,0
Labrenzia sp. PHM005,0,0,0,0,0,1,0,0,0,0,0
Acuticoccus sp. MNP-M23,0,0,0,0,0,1,0,0,0,0,0
Acetobacter pasteurianus,0,0,0,0,0,0,0,0,0,0,0
Azospirillum sp. B510,0,0,0,0,0,1,0,0,0,0,0
Indioceanicola profundi,0,0,0,0,0,1,0,0,0,0,0
Paracoccus yeei,0,0,0,0,0,1,0,0,0,1,0
Sphingobium sp. PAMC28499,0,0,0,0,0,1,0,0,0,0,0
Sneathiella marina,0,0,0,0,0,1,0,0,0,0,0
Paremcibacter congregatus,0,0,0,0,0,1,0,0,0,0,0
Burkholderia dolosa,0,0,0,0,0,1,0,0,0,0,0
Burkholderia contaminans,0,0,0,0,0,1,0,0,1,0,0
Cupriavidus basilensis,0,0,0,0,0,2,1,2,0,0,2
Paraburkholderia sp. PGU19,0,0,0,0,0,1,0,0,0,0,0
Mycoavidus sp. B2-EB,0,0,0,0,0,1,0,0,0,0,0
Mycetohabitans rhizoxinica,0,0,0,0,0,0,0,0,0,0,0
Comamonas serinivorans,0,0,0,0,0,1,0,0,0,0,0
Variovorax sp. 38R,0,0,0,0,0,1,1,0,1,0,0
Melaminivora jejuensis,0,0,0,0,0,1,0,0,0,0,0
Massilia sp. WG5,0,0,0,0,0,4,0,1,1,0,0
Massilia sp. DM-R-R2A-13,0,0,0,0,0,1,0,0,1,0,0
Massilia violaceinigra,0,0,0,0,0,1,0,0,2,0,0
Herbaspirillum rubrisubalbicans,0,0,0,0,0,0,0,0,0,0,0
Noviherbaspirillum sp. UKPF54,0,0,0,0,0,2,0,0,0,0,0
Pusillimonas thiosulfatoxidans,0,0,0,0,0,1,1,0,0,0,0
Ferriphaselus amnicola,0,0,0,0,0,1,0,0,0,0,0
Nitrosomonas ureae,0,0,0,0,0,1,0,0,1,1,0
Methylotenera mobilis,0,0,0,0,0,0,0,0,0,0,0
Ferribacterium limneticum,0,0,0,0,0,1,0,0,0,0,0
Laribacter hongkongensis,0,0,0,0,0,1,0,1,0,0,0
Blochmannia endosymbiont of Camponotus sp. C-046,0,0,0,0,0,1,0,0,0,0,1
